Diffusivity, Uncertainty
3.94543389e-05,1.33427651e-06
6.65112741e-05,2.89757002e-06
-1.29613907e-04,1.88501999e-05
-5.20467057e-04,2.82700521e-04
-3.39519419e-05,7.77405315e-06
-2.77809465e-04,5.72990766e-04
-3.72012603e-03,3.65152424e-03
5.75296784e-03,8.51606486e-03
6.50895119e-02,1.11964913e+00
9.38026127e-03,1.84403073e-02
-1.58049332e-02,7.64433326e-02
9.19807901e-02,8.00654694e-01
-5.04822534e-02,3.23746241e-01
1.80621582e-02,5.73628352e-02
1.99488575e-02,6.51316798e-02
-3.86971202e-01,1.29320573e+01
5.01385602e-03,8.31410241e-03
3.19398863e-02,1.93289293e-01
-8.22435430e-02,7.16298880e-01
nan,nan
