Ångström bar experiment:
Date: 17-10-2024
Start time: 13:57:41
Time   ,Heater status  ,Temp P   ,Temp Q   
1,1,21.1,21.0
2,0,21.2,21.0
3,0,21.1,21.0
4,0,21.2,21.0
5,0,21.1,21.0
6,0,21.2,21.0
7,0,21.1,21.0
8,0,21.1,21.0
9,0,21.1,21.0
10,0,21.2,21.1
11,0,21.2,21.1
12,0,21.1,21.2
13,0,21.1,21.2
14,0,21.3,21.1
15,0,21.1,21.0
16,0,21.1,21.0
17,0,21.2,21.1
18,0,21.2,21.0
19,0,21.2,21.1
20,0,21.3,21.0
21,0,21.2,21.0
22,0,21.1,21.0
23,0,21.3,21.0
24,0,21.1,21.1
25,0,21.1,21.1
26,0,21.2,21.0
27,0,21.2,21.1
28,0,21.2,21.0
29,0,21.2,21.0
30,0,21.2,21.1
31,0,21.2,21.1
32,0,21.1,21.1
33,0,21.2,21.0
34,0,21.3,21.1
35,0,21.1,21.1
37,0,21.2,21.0
37,0,21.1,21.1
38,0,21.1,21.1
39,0,21.1,21.1
41,0,21.1,21.1
42,0,21.1,21.0
43,0,21.2,21.0
44,0,21.3,21.1
45,0,21.3,21.1
46,0,21.1,21.0
47,0,21.2,21.1
48,0,21.1,21.1
49,0,21.3,21.0
50,0,21.1,21.1
51,0,21.3,21.0
52,0,21.3,21.0
53,0,21.1,21.1
54,0,21.2,21.2
55,0,21.2,21.0
56,0,21.2,21.1
57,0,21.3,21.1
59,0,21.2,21.1
59,0,21.2,21.2
60,0,21.2,21.2
61,0,21.2,21.0
62,0,21.2,21.1
63,0,21.3,21.0
64,0,21.3,21.1
65,0,21.2,21.2
66,0,21.3,21.1
67,0,21.1,21.3
68,0,21.2,21.1
69,0,21.2,21.0
70,0,21.3,21.1
71,0,21.2,21.0
72,0,21.3,21.0
73,0,21.3,21.1
74,0,21.3,21.1
75,0,21.3,21.1
76,0,21.2,21.1
77,0,21.3,21.0
78,0,21.2,21.1
79,0,21.1,21.2
80,0,21.2,21.2
81,0,21.1,21.2
82,0,21.2,21.1
83,0,21.3,21.1
84,0,21.4,21.1
85,0,21.2,21.1
86,0,21.2,21.3
87,0,21.2,21.2
88,0,21.2,21.1
89,0,21.3,21.1
90,0,21.3,21.2
91,0,21.3,21.1
92,0,21.3,21.1
93,0,21.2,21.0
94,0,21.3,21.1
95,0,21.3,21.1
96,0,21.2,21.1
97,0,21.3,21.1
98,0,21.2,21.1
99,0,21.2,21.1
100,0,21.2,21.1
101,0,21.3,21.1
102,0,21.2,21.1
103,0,21.3,21.1
104,0,21.3,21.0
105,0,21.2,21.1
106,0,21.3,21.1
107,0,21.2,21.1
108,0,21.3,21.2
109,0,21.2,21.1
110,0,21.3,21.3
111,0,21.1,21.3
112,0,21.3,21.1
113,0,21.3,21.1
114,0,21.3,21.0
115,0,21.2,21.1
116,0,21.3,21.1
117,0,21.2,21.1
118,0,21.2,21.1
119,0,21.2,21.1
120,0,21.3,21.1
121,0,21.3,21.1
122,0,21.2,21.3
123,0,21.1,21.3
124,0,21.3,21.1
125,0,21.2,21.2
126,0,21.2,21.1
127,0,21.2,21.2
128,0,21.3,21.3
129,0,21.3,21.1
130,0,21.2,21.3
131,0,21.2,21.3
132,0,21.2,21.2
133,0,21.2,21.1
134,0,21.3,21.1
135,0,21.3,21.3
136,0,21.2,21.1
137,0,21.2,21.1
138,0,21.3,21.3
139,0,21.3,21.1
140,0,21.3,21.3
141,0,21.3,21.3
142,0,21.3,21.3
143,0,21.3,21.2
144,0,21.3,21.3
145,0,21.3,21.1
146,0,21.3,21.1
147,0,21.3,21.2
148,0,21.2,21.2
149,0,21.3,21.2
150,0,21.2,21.1
151,0,21.1,21.2
152,0,21.3,21.1
153,0,21.3,21.1
154,0,21.2,21.1
155,0,21.3,21.1
156,0,21.3,21.0
157,0,21.3,21.1
158,0,21.2,21.2
159,0,21.3,21.2
160,0,21.3,21.1
161,0,21.3,21.3
162,0,21.2,21.0
163,0,21.2,21.1
164,0,21.2,21.3
165,0,21.3,21.2
166,0,21.3,21.3
167,0,21.3,21.1
168,0,21.3,21.1
169,0,21.3,21.1
170,0,21.4,21.0
171,0,21.3,21.3
172,0,21.3,21.1
173,0,21.3,21.1
174,0,21.3,21.1
175,0,21.3,21.1
176,0,21.3,21.1
177,0,21.3,21.1
178,0,21.3,21.3
179,0,21.3,21.2
180,0,21.3,21.3
181,0,21.3,21.2
182,0,21.3,21.2
183,0,21.3,21.2
184,0,21.3,21.2
185,0,21.4,21.2
186,0,21.2,21.1
187,0,21.2,21.1
188,0,21.3,21.2
189,0,21.3,21.1
190,0,21.3,21.1
191,0,21.3,21.1
192,0,21.3,21.2
193,0,21.3,21.3
194,0,21.3,21.2
195,0,21.3,21.3
196,0,21.3,21.2
197,0,21.2,21.3
198,0,21.2,21.1
199,0,21.2,21.1
200,0,21.3,21.1
201,0,21.2,21.2
202,0,21.3,21.1
203,0,21.3,21.2
204,0,21.3,21.1
205,0,21.3,21.2
206,0,21.2,21.2
207,0,21.3,21.1
208,0,21.3,21.2
209,0,21.3,21.1
210,0,21.3,21.2
211,0,21.2,21.1
212,0,21.3,21.2
213,0,21.3,21.3
214,0,21.1,21.3
215,0,21.3,21.3
216,0,21.3,21.3
217,0,21.3,21.2
218,0,21.3,21.1
219,0,21.2,21.1
220,0,21.3,21.2
221,0,21.3,21.1
222,0,21.3,21.2
223,0,21.3,21.2
224,0,21.3,21.2
225,0,21.3,21.2
226,0,21.3,21.2
227,0,21.3,21.2
228,0,21.3,21.3
229,0,21.3,21.2
230,0,21.3,21.2
231,0,21.3,21.1
232,0,21.3,21.2
233,0,21.3,21.1
234,0,21.3,21.1
235,0,21.3,21.2
236,0,21.3,21.1
237,0,21.2,21.1
238,0,21.3,21.1
239,0,21.3,21.1
240,0,21.3,21.1
241,0,21.4,21.3
242,0,21.3,21.1
243,0,21.3,21.1
244,0,21.2,21.1
245,0,21.3,21.3
246,0,21.2,21.2
247,0,21.2,21.3
248,0,21.3,21.1
249,0,21.3,21.2
250,0,21.3,21.1
251,0,21.2,21.1
252,0,21.3,21.1
253,0,21.3,21.1
254,0,21.1,21.1
255,0,21.3,21.1
256,0,21.3,21.1
257,0,21.3,21.1
258,0,21.3,21.2
259,0,21.3,21.1
260,0,21.3,21.1
261,0,21.4,21.1
262,0,21.3,21.1
263,0,21.3,21.1
264,0,21.3,21.3
265,0,21.3,21.1
266,0,21.3,21.1
267,0,21.3,21.2
268,0,21.3,21.1
269,0,21.3,21.1
270,0,21.3,21.1
271,0,21.3,21.2
272,0,21.3,21.1
273,0,21.3,21.2
274,0,21.3,21.3
275,0,21.3,21.2
276,0,21.3,21.2
277,0,21.3,21.1
278,0,21.3,21.2
279,0,21.3,21.3
280,0,21.3,21.2
281,0,21.3,21.1
282,0,21.2,21.2
283,0,21.3,21.1
284,0,21.3,21.1
285,0,21.3,21.1
286,0,21.3,21.1
287,0,21.3,21.1
288,0,21.2,21.3
289,0,21.3,21.3
290,0,21.3,21.1
291,0,21.3,21.2
292,0,21.3,21.2
293,0,21.3,21.0
294,0,21.3,21.1
295,0,21.3,21.2
296,0,21.2,21.1
297,0,21.3,21.2
298,0,21.3,21.0
299,0,21.3,21.2
300,0,21.4,21.1
301,0,21.2,21.2
302,0,21.3,21.3
303,0,21.3,21.2
304,0,21.3,21.2
305,0,21.3,21.2
306,0,21.3,21.2
307,0,21.3,21.1
308,0,21.3,21.2
309,0,21.3,21.3
310,0,21.3,21.3
311,0,21.3,21.3
312,0,21.3,21.2
313,0,21.3,21.1
314,0,21.3,21.1
315,0,21.3,21.1
316,0,21.3,21.2
317,0,21.3,21.3
318,0,21.3,21.2
319,0,21.3,21.1
320,0,21.3,21.1
321,0,21.3,21.1
322,0,21.3,21.2
323,0,21.3,21.1
324,0,21.2,21.1
325,0,21.2,21.1
326,0,21.3,21.2
327,0,21.3,21.3
328,0,21.3,21.4
329,0,21.2,21.1
330,0,21.3,21.1
331,0,21.4,21.2
332,0,21.3,21.1
333,0,21.3,21.1
334,0,21.3,21.3
335,0,21.3,21.2
336,0,21.3,21.2
337,0,21.3,21.2
338,0,21.3,21.3
339,0,21.3,21.0
340,0,21.3,21.1
341,0,21.3,21.1
342,0,21.3,21.1
343,0,21.3,21.1
344,0,21.3,21.1
