Ångström bar experiment:
Date: 25-9-2024
Start time: 10:15:00
Time   ,Heater status  ,Temp P   ,Temp Q   
2,1,22.4,22.0
3,1,22.3,22.1
4,1,22.3,22.0
5,1,22.2,22.1
6,1,22.3,22.1
7,1,22.3,22.0
8,1,22.3,21.9
9,1,22.3,22.1
10,1,22.3,22.0
11,1,22.2,22.1
12,1,22.3,22.1
13,1,22.3,22.1
14,1,22.3,22.0
15,1,22.4,22.1
16,1,22.3,22.0
17,1,22.3,22.1
18,1,22.3,22.1
19,1,22.3,22.1
20,1,22.3,22.0
21,1,22.3,22.1
22,1,22.3,22.1
23,1,22.4,22.0
24,1,22.3,22.0
25,1,22.3,22.1
26,1,22.3,22.1
27,1,22.3,22.1
28,1,22.3,22.1
29,1,22.4,22.1
30,1,22.3,22.1
31,1,22.3,21.9
32,1,22.4,22.0
33,1,22.3,22.0
34,1,22.3,22.0
35,1,22.3,22.1
36,1,22.3,22.2
37,1,22.4,22.2
38,1,22.3,22.1
39,1,22.3,22.3
40,1,22.3,22.0
41,1,22.3,22.1
42,1,22.3,22.1
43,1,22.4,22.1
44,1,22.3,22.2
45,1,22.3,22.1
46,1,22.4,22.1
47,1,22.3,22.1
48,1,22.3,22.1
49,1,22.3,22.2
50,1,22.3,22.1
51,1,22.3,22.0
52,1,22.3,22.1
53,1,22.4,22.1
54,1,22.2,22.1
55,1,22.3,22.1
56,1,22.3,22.1
57,1,22.4,22.2
58,1,22.3,22.3
59,1,22.3,22.1
60,1,22.3,22.1
61,1,22.3,22.2
62,1,22.3,22.2
63,1,22.3,22.2
64,1,22.3,22.3
65,1,22.3,22.4
66,1,22.3,22.2
67,1,22.3,22.3
68,1,22.3,22.1
69,1,22.3,22.2
70,1,22.3,22.4
71,1,22.4,22.3
72,1,22.2,22.4
73,1,22.3,22.3
74,1,22.3,22.3
75,1,22.3,22.4
76,1,22.3,22.4
77,1,22.2,22.5
78,1,22.3,22.5
79,1,22.3,22.3
80,1,22.3,22.5
81,1,22.3,22.3
82,1,22.3,22.5
83,1,22.3,22.5
84,1,22.4,22.5
85,1,22.4,22.4
86,1,22.3,22.5
87,1,22.4,22.5
88,1,22.3,22.5
89,1,22.3,22.6
90,1,22.3,22.6
91,1,22.3,22.7
92,1,22.3,22.8
93,1,22.4,22.6
94,1,22.4,22.7
95,1,22.3,22.8
96,1,22.3,22.7
97,1,22.3,22.7
98,1,22.4,22.9
99,1,22.5,22.8
100,1,22.4,22.8
101,1,22.4,22.8
102,1,22.4,22.8
103,1,22.4,22.9
104,1,22.4,22.9
105,1,22.3,23.0
106,1,22.3,23.1
107,1,22.4,23.1
108,1,22.4,23.0
109,1,22.3,23.1
110,1,22.4,23.1
111,1,22.4,23.1
112,1,22.4,23.1
113,1,22.4,23.1
114,1,22.3,23.2
115,1,22.5,23.3
116,1,22.3,23.3
117,1,22.4,23.3
118,1,22.5,23.3
119,1,22.3,23.4
120,1,22.5,23.3
121,1,22.4,23.3
122,1,22.5,23.3
123,1,22.5,23.3
124,1,22.5,23.4
125,1,22.5,23.5
126,1,22.5,23.4
127,1,22.5,23.5
128,1,22.5,23.5
129,1,22.5,23.5
130,1,22.5,23.6
131,1,22.5,23.7
132,1,22.5,23.6
133,1,22.6,23.8
134,1,22.5,23.6
135,1,22.6,23.7
136,1,22.5,23.6
137,1,22.5,23.8
138,1,22.5,23.6
139,1,22.6,23.8
140,1,22.6,23.8
141,1,22.7,23.9
142,1,22.6,23.8
143,1,22.6,24.0
144,1,22.5,24.0
145,1,22.7,24.0
146,1,22.6,24.1
147,1,22.6,24.0
148,1,22.7,24.1
149,1,22.8,24.1
150,1,22.7,24.1
151,1,22.8,24.1
152,1,22.7,24.1
153,1,22.8,24.1
154,1,22.7,24.2
155,1,22.6,24.3
156,1,22.7,24.3
157,1,22.7,24.3
158,1,22.8,24.3
159,1,22.8,24.5
160,1,22.8,24.3
161,1,22.8,24.4
162,1,22.8,24.6
163,1,22.8,24.5
164,1,22.8,24.6
165,1,22.8,24.5
166,1,22.9,24.6
167,1,22.9,24.6
168,1,22.8,24.6
169,1,22.9,24.6
170,1,22.9,24.7
171,1,22.8,24.8
172,1,23.0,24.8
173,1,23.0,24.8
174,1,22.9,24.8
175,1,22.9,24.8
176,1,23.0,24.9
177,1,23.0,25.0
178,1,23.0,25.0
179,1,23.0,25.1
180,1,23.1,25.1
181,1,22.9,25.2
182,1,23.0,25.3
183,1,23.0,25.1
184,1,23.0,25.2
185,1,23.0,25.3
186,1,23.1,25.1
187,1,23.1,25.3
188,1,23.1,25.1
189,1,23.1,25.3
190,1,23.1,25.4
191,1,23.1,25.3
192,1,23.2,25.4
193,1,23.1,25.5
194,1,23.1,25.5
195,1,23.1,25.5
196,1,23.2,25.6
197,1,23.1,25.5
198,1,23.3,25.6
199,1,23.3,25.6
200,1,23.3,25.6
201,1,23.3,25.6
202,1,23.3,25.8
203,1,23.3,25.8
204,1,23.2,25.6
205,1,23.4,25.8
206,1,23.5,25.8
207,1,23.4,25.9
208,1,23.5,25.8
209,1,23.5,26.0
210,1,23.5,25.9
211,1,23.5,26.0
212,1,23.5,26.0
213,1,23.4,26.0
214,1,23.4,26.1
215,1,23.5,26.2
216,1,23.5,26.1
217,1,23.5,26.3
218,1,23.6,26.3
219,1,23.5,26.3
220,1,23.5,26.3
221,1,23.5,26.4
222,1,23.6,26.3
223,1,23.6,26.3
224,1,23.6,26.3
225,1,23.6,26.3
226,1,23.7,26.3
227,1,23.6,26.5
228,1,23.7,26.5
229,1,23.7,26.5
230,1,23.7,26.5
231,1,23.8,26.5
232,1,23.6,26.6
233,1,23.8,26.6
234,1,23.8,26.6
235,1,23.9,26.8
236,1,23.8,26.7
237,1,23.8,26.8
238,1,23.7,26.7
239,1,23.8,26.7
240,1,23.8,26.8
241,1,23.9,26.8
242,1,23.8,26.8
243,1,24.0,27.0
244,1,23.9,26.9
245,1,24.0,26.9
246,1,23.9,27.0
247,1,24.0,27.1
248,1,24.0,27.0
249,1,24.0,27.1
250,1,24.0,27.1
251,1,24.0,27.0
252,1,24.0,27.2
253,1,24.1,27.2
254,1,24.1,27.3
255,1,24.1,27.4
256,1,24.1,27.2
257,1,24.1,27.3
258,1,24.1,27.4
259,1,24.1,27.4
260,1,24.1,27.5
261,1,24.2,27.5
262,1,24.2,27.3
263,1,24.2,27.4
264,1,24.3,27.5
265,1,24.3,27.5
266,1,24.3,27.5
267,1,24.2,27.6
268,1,24.3,27.6
269,1,24.3,27.7
270,1,24.3,27.6
271,1,24.4,27.7
272,1,24.3,27.8
273,1,24.3,27.8
274,1,24.3,27.7
275,1,24.4,27.7
276,1,24.3,27.8
277,1,24.5,27.8
278,1,24.5,28.0
279,1,24.5,28.0
280,1,24.6,27.8
281,1,24.6,27.9
282,1,24.5,28.1
283,1,24.6,28.0
284,1,24.5,28.1
285,1,24.5,28.0
286,1,24.6,28.3
287,1,24.5,28.3
288,1,24.6,28.1
289,1,24.6,28.2
290,1,24.6,28.3
291,1,24.6,28.3
292,1,24.7,28.1
293,1,24.7,28.1
294,1,24.6,28.3
